Periodo,Energia_Activa_Total,Energia_Activa_HP,Energia_Activa_HFP,Energia_Reactiva,Potencia_HP,Potencia_HFP
Ago-2025,475622.251,73645.3809,401976.870,227186.136,790.2719,800.7265
Jul-2025,376513.259,58554.4869,317958.773,176058.914,659.0448,678.6357
Jun-2025,364013.272,59536.3041,304476.968,170254.376,586.5014,603.7666
May-2025,348181.470,57423.4929,290757.977,165240.736,581.7280,591.1443
Abr-2025,217445.242,39280.1712,178165.071,107749.887,459.0450,502.5874
Mar-2025,285331.532,49581.6637,235749.868,138363.495,455.7743,469.0478
Feb-2025,271472.460,48067.0524,223405.408,134999.866,487.3559,485.8556
Ene-2025,249017.931,44755.6287,204262.302,122863.509,463.0000,474.0528
Dic-2024,302549.703,54124.7231,248424.980,147086.218,567.6825,559.4143
Nov-2024,328090.584,57368.5980,270721.986,150168.027,547.1769,574.9512
Oct-2024,335231.488,58758.1193,276473.368,152081.667,546.6791,565.0910
Set-2024,323881.492,56893.2819,267988.210,149913.488,552.4148,550.4089
Ago-2024,305086.060,54054.3310,251031.729,144795.305,542.0932,545.2748
Jul-2024,238377.031,42241.5233,196135.507,114268.067,577.0398,567.9985
Jun-2024,248895.213,44272.8835,204622.330,117286.254,539.3192,561.8193
May-2024,297767.882,52805.9094,244961.972,144772.583,552.6758,554.4503
Abr-2024,255695.201,46696.3294,208998.872,125254.423,455.4148,464.3192
Mar-2024,222540.694,44040.6823,178500.012,68886.2926,456.0919,469.9100
Feb-2024,60713.5757,12640.8965,48072.6792,21877.2509,435.3177,437.0851
Ene-2024,13422.7101,3445.8175,9976.8926,9977.2589,105.2319,124.6803
